source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
menu.list_companies;La liste des entreprises;La liste des entreprises;The list of companies;The list of companies;Lista das empresas;Lista das empresas;Lista de empresas;Lista de empresas
menu.the_apprentices;Les apprentis;Les apprentis;Apprentices;Apprentices;Estagiários;Estagiários;Aprendices;Aprendices
menu.the_job_offers;Les offres d'emplois;Les offres d'emplois;Job offers;Job offers;Ofertas de emprego;Ofertas de emprego;Ofertas de empleo;Ofertas de empleo
menu.the_job_applied;Les offres postulées;Les offres postulées;Offers applied for;Offers applied for;Ofertas solicitadas;Ofertas solicitadas;Ofertas solicitadas;Ofertas solicitadas
menu.ads;Les publicités;Les publicités;Ads;Ads;Anúncios;Anúncios;Anuncios;Anuncios
menu.graduate;Diplômé;Diplômé;Graduate;Graduate;Graduado;Graduado;Graduados;Graduados
menu.graduates;Diplômés;Diplômés;Graduates;Graduates;Graduados;Graduados;Graduados;Graduados
menu.your_graduate;Vos diplômés;Vos diplômés;Your graduates;Your graduates;Os vossos graduados;Os vossos graduados;Tus graduados;Tus graduados
menu.partners;partenaires;partenaires;partners;partners;parceiros;parceiros;socios;socios
menu.your_partners;Vos partenaires;Vos partenaires;Your partners;Your partners;Os vossos parceiros;Os vossos parceiros;Tus socios;Tus socios
menu.dashboard;Tableau de bord;Tableau de bord;Dashboard;Dashboard;Painel;Painel;Cuadro de mandos;Cuadro de mandos
menu.cleaning;Nettoyage;Nettoyage;Cleaning;Cleaning;Limpeza;Limpeza;Limpieza;Limpieza
menu.profile;Profile;Profile;Profile;Profile;Perfil;Perfil;Perfil;Perfil
menu.update_profile;Changement photo profil;Changement photo profil;Update photo profile;Update photo profile;Actualizar o perfil;Actualizar o perfil;Actualizar perfil de fotos;Actualizar perfil de fotos
menu.the_graduates;Les Diplômés;Les Diplômés;Graduates;Graduates;Diplomados;Diplomados;Graduados;Graduados
menu.the_establishments;Les Etablissements;Les Etablissements;TVET Schools;TVET Schools;Estabelecimentos;Estabelecimentos;Centros de FP;Centros de FP
menu.social_media;Réseaux sociaux;Réseaux sociaux;Social networks;Social networks;Redes sociais;Redes sociais;Redes sociales;Redes sociales
menu.the_social_media;Les Réseaux sociaux;Les Réseaux sociaux;Social Networks;Social Networks;Redes sociais;Redes sociais;Redes sociales;Redes sociales
menu.investigation;Enquêtes;Enquêtes;Surveys;Surveys;Inquéritos;Inquéritos;Encuestas;Encuestas
menu.today;Aujourd'hui;Aujourd'hui;Today;Today;Hoje;Hoje;Hoy;Hoy
menu.apply;Postuler;Postuler;Apply;Apply;Aplicar;Aplicar;Solicitar;Solicitar
menu.last_week;Dernière semaine;Dernière semaine;Last week;Last week;Semana passada;Semana passada;Última semana;Última semana
menu.last_30_days;Derniers 30 Jours;Derniers 30 Jours;Last 30 Days;Last 30 Days;Últimos 30 dias;Últimos 30 dias;Últimos 30 días;Últimos 30 días
menu.country;Pays;Province;Country;Province;País;Provincia;País;Provincia
menu.countries;Pays;Provinces;Countries;Provinces;País;Provincias;País;Provincias
menu.residence_country;Pays de résidence;Pays de résidence;Country of residence;Country of residence;País de residência;País de residência;País de residencia;País de residencia
menu.region;Région;Pays;Region;Country;Região;País;Región;País
menu.regions;Régions;Pays;Regions;Countries;Regiões;País;Regiones;País
menu.city;Ville;Ville;City;City/town;Cidade;Cidade;Ciudad;Ciudad
menu.cities;Villes;Villes;Cities;Cities/towns;Cidades;Cidades;Ciudades;Ciudades
menu.prefecture;Préfecture;Préfecture;Prefecture;Prefecture;Prefeitura;Prefeitura;Prefeitura;Prefeitura
menu.prefectures;Préfectures;Préfectures;Prefectures;Prefectures;Prefeituras;Prefeituras;Prefeituras;Prefeituras
menu.all_prefectures;Toutes prefectures;Toutes prefectures;All prefectures;All prefectures;Todas as prefeituras;Todas as prefeituras;Todas las prefecturas;Todas las prefecturas
menu.description;Description;Description;Description;Description;Descrição;Descrição;Descripción;Descripción
menu.download_description;Telecharger la description;Telecharger la description;Download description;Download description;Descarregar a descrição;Descarregar a descrição;Descargar descripción;Descargar descripción
menu.is_view;Est vue;Est vue;Is seen;Is seen;É visto;É visto;Se ve;Se ve
menu.and;et;et;and;and;e;e;y;y
menu.currency;Devise;Devise;Currency;Currency;Moeda;Moeda;Moneda;Moneda
menu.currencies;Devises;Devises;Currencies;Currencies;Moedas;Moedas;Monedas;Monedas
menu.backup;Sauvegarde;Sauvegarde;Backup;Backup;Backup;Backup;Copia de seguridad;Copia de seguridad
menu.user;Utilisateur;Utilisateur;User;User;Utilizador;Utilizador;Usuario;Usuario
menu.users_list;Liste des utilisateurs;Liste des utilisateurs;Users list;Users list;Lista de usuários;Lista de usuários;Lista de usuarios;Lista de usuarios
menu.users;Utilisateurs;Utilisateurs;Users;Users;Utilizadores;Utilizadores;Usuarios;Usuarios
menu.phone_indicator;Indicatif pays;Indicatif pays;Country code;Country code;Código do país;Código do país;Código de país;Código de país
menu.number_phone_digit;Nombre de digits;Nombre de digits;Number of digits;Number of digits;Número de contactos;Número de contactos;Número de dígitos;Número de dígitos
menu.logout;Déconnexion;Déconnexion;Logout;Logout;Sair;Sair;Cierre de sesión;Cierre de sesión
menu.enrollment_graduates;Enrollement Diplômés;Enrollement Diplômés;Graduate Enrolment;Graduate Enrolment;Inscrição de graduados;Inscrição de graduados;Inscripción de licenciados;Inscripción de licenciados
menu.enrollment_companies;Enrollement Entreprises;Enrollement Entreprises;Business Enrolment;Business Enrolment;Inscrição de empresas;Inscrição de empresas;Empresas;Empresas
menu.establishment;Etablissement;Etablissement;TVET School;TVET School;Estabelecimento;Estabelecimento;Escuela TVET;Escuela TVET
menu.school;Ecole;Ecole;School;School;Escola;Escola;Escuela;Escuela
menu.establishments;Etablissements;Etablissements;TVET Schools ;TVET Schools ;Estabelecimentos;Estabelecimentos;Escuelas TVET;Escuelas TVET
menu.qualification;Qualification;Qualification;Qualification;Qualification;Qualificação;Qualificação;Graduación;Graduación
menu.degree;Diplôme;Diplôme;Diploma;Diploma;Diploma;Diploma;Diploma;Diploma
menu.other_degree;Autre diplôme;Autre diplôme;Other diploma;Other diploma;Outro diploma;Outro diploma;Otros diplomas;Otros diplomas
menu.degrees;Diplômes;Diplômes;Diplomas;Diplomas;Diplomas;Diplomas;Diplomas;Diplomas
menu.the_degrees;Les Diplômes;Les Diplômes;Diplomas;Diplomas;Diplomas;Diplomas;Diplomas;Diplomas
menu.occupation;Profession;Profession;Occupation;Occupation;Ocupação;Ocupação;Ocupación;Ocupación
menu.faculty;Filière;Filière;Subsector;Subsector;Subsector;Subsector;Subsector;Subsector
menu.other_activity;Autre activité;Autre activité;Other activity;Other activity;Outra atividade;Outra atividade;Otra actividad;Otra actividad
menu.activity;Activité;Activité;Activity;Activity;Actividade;Actividade;Actividad;Actividad
menu.activity_area;Secteur d'activité;Secteur d'activité;Sector of activity;Sector of activity;Sector de actividade;Sector de actividade;Sector de actividad;Sector de actividad
menu.job;Métier;Métier;Profession;Profession;Profissão;Profissão;Profesión;Profesión
menu.jobs;Métiers;Métiers;Professions;Professions;Profissões;Profissões;Profesiones;Profesiones
menu.other_trade;Autre métier;Autre métier;Other profession;Other profession;Outra profissão;Outra profissão;Otra profesión;Otra profesión
menu.pdf_of_the_ad;Pdf de l'annonce;Pdf de l'annonce;Ad PDF;Ad PDF;Anúncio em PDF;Anúncio em PDF;Anuncio PDF;Anuncio PDF
menu.display_data;Afficher les données;Afficher les données;Show data;Show data;Mostrar os dados;Mostrar os dados;Mostrar datos;Mostrar datos
menu.position_held;Poste occupé;Poste occupé;Position occupied;Position occupied;Cargo ocupado;Cargo ocupado;Puesto ocupado;Puesto ocupado
menu.other_position_held;Autre Poste occupé;Autre Poste occupé;Other Position Held;Other Position Held;Outro cargo ocupado;Outro cargo ocupado;Otro cargo ocupado;Otro cargo ocupado
menu.legals_status;Statut juridique;Statut juridique;Legal status;Legal status;Estado jurídico;Estado jurídico;Situación jurídica;Situación jurídica
menu.legals_status_with_tag;Statut%tag_br%juridique;Statut%tag_br%juridique;Status%tag_br%legal;Status%tag_br%legal;Estado%tag_br%legal;Estado%tag_br%legal;Status%tag_br%legal;Status%tag_br%legal
menu.training_useful_with_tag;Formation%tag_br%utile;Formation%tag_br%utile;Training%tag_br%useful;Training%tag_br%useful;Formação%tag_br%útil;Formação%tag_br%útil;Formación%tag_br%útil;Formación%tag_br%útil
menu.right_to_data_protection;Droit à la protection des données;Droit à la protection des données;Right to data protection;Right to data protection;Direito à protecção de dados;Direito à protecção de dados;Derecho a la protección de datos;Derecho a la protección de datos
menu.click_yes_if_you_agree;Cliquez sur OUI si vous acceptez de diffuser vos informations personnelles pour les statistiques ;Cliquez sur OUI si vous acceptez de diffuser vos informations personnelles pour les statistiques ;Click YES if you agree to share your personal information for statistics ;Click YES if you agree to share your personal information for statistics ;Pressione SIM se concordar com a partilha das suas informações pessoais para fins estatísticos ;Pressione SIM se concordar com a partilha das suas informações pessoais para fins estatísticos ;Haga clic en SÍ si acepta compartir su información personal para fines estadísticos. ;Haga clic en SÍ si acepta compartir su información personal para fines estadísticos. 
menu.click_no_if_you_no_longer_agree;Cliquez sur NON si vous n'acceptez plus l'utilisation de vos données personnelles, vous supprimerez l'intégralité de votre compte ;Cliquez sur NON si vous n'acceptez plus l'utilisation de vos données personnelles, vous supprimerez l'intégralité de votre compte ;Click NO if you no longer accept the use of your personal data, you will delete your entire account ;Click NO if you no longer accept the use of your personal data, you will delete your entire account ;Pressione NÃO se já não aceita a utilização dos seus dados pessoais, apagará toda a sua conta ;Pressione NÃO se já não aceita a utilização dos seus dados pessoais, apagará toda a sua conta ;Haga clic en NO si ya no acepta el uso de sus datos personales, eliminará toda su cuenta ;Haga clic en NO si ya no acepta el uso de sus datos personales, eliminará toda su cuenta 
menu.click_no_if_you_no_longer_agree_school_with_tag;Cliquez sur NON si vous n'acceptez plus l'utilisation de vos données personnelles,%tag_br%Si des diplômés existent dans la rubrique Vos Diplômés,%tag_br%seul le nom de l'établissement sera conservé;Cliquez sur NON si vous n'acceptez plus l'utilisation de vos données personnelles,%tag_br%Si des diplômés existent dans la rubrique Vos Diplômés,%tag_br%seul le nom de l'établissement sera conservé;Click on NO if you no longer accept the use of your personal data,%tag_br%If graduates exist in the Your Graduates section,%tag_br%only the name of the establishment will be kept;Click on NO if you no longer accept the use of your personal data,%tag_br%If graduates exist in the Your Graduates section,%tag_br%only the name of the establishment will be kept;Clique em NÃO se não aceitar mais o uso de seus dados pessoais,%tag_br%Se houver graduados na seção Your Graduates (Seus graduados),%tag_br%somente o nome do estabelecimento será mantido;Clique em NÃO se não aceitar mais o uso de seus dados pessoais,%tag_br%Se houver graduados na seção Your Graduates (Seus graduados),%tag_br%somente o nome do estabelecimento será mantido;Haga clic en NO si ya no acepta el uso de sus datos personales,%tag_br%Si existen graduados en la sección Sus graduados,%tag_br%sólo se conservará el nombre del establecimiento;Haga clic en NO si ya no acepta el uso de sus datos personales,%tag_br%Si existen graduados en la sección Sus graduados,%tag_br%sólo se conservará el nombre del establecimiento
menu.information_on_the_protection_of_personal_data_pdp;Informations relatives à la protection des données personnelles (PDP);Informations relatives à la protection des données personnelles (PDP);Information relating to the protection of personal data (PDP);Information relating to the protection of personal data (PDP);Informações relativas à protecção dos dados pessoais (PDP);Informações relativas à protecção dos dados pessoais (PDP);Información relativa a la protección de datos personales (PDP);Información relativa a la protección de datos personales (PDP)
menu.required_field;champ obligatoire;champ obligatoire;mandatory field;mandatory field;campo obrigatório;campo obrigatório;campo obligatorio;campo obligatorio
menu.job_offer;Offre d'emploi;Offre d'emploi;Job offer;Job offer;Oferta de emprego;Oferta de emprego;Oferta de empleo;Oferta de empleo
menu.job_offers;Offres d'emploi;Offres d'emploi;Job offers;Job offers;Empregos;Empregos;Ofertas de empleo;Ofertas de empleo
menu.branch;Filière;Filière;Subsector;Subsector;Subsector;Subsector;Subsector;Subsector
menu.branchs;Filières;Filières;Subsectors;Subsectors;Subsectores;Subsectores;Subsectores;Subsectores
menu.sector;Secteur;Secteur;Sector;Sector;Sector;Sector;Sector;Sector
menu.sectors;Secteurs;Secteurs;Sectors;Sectors;Sectores;Sectores;Sectores;Sectores
menu.contract;Contrat;Contrat;Contract;Contract;Contracto;Contracto;Contrato;Contrato
menu.contracts;Contrats;Contrats;Contracts;Contracts;Contractos;Contractos;Contratos;Contratos
menu.status;Statut;Statut;Status;Status;Estado;Estado;Situación;Situación
menu.role;Rôle;Rôle;Role;Role;Função;Função;Función;Función
menu.roles;Rôles;Rôles;Roles;Roles;Funções;Funções;Funciones;Funciones
menu.account;Compte;Compte;Account;Account;Conta;Conta;Cuenta;Cuenta
menu.geolocation;Géo-Localisation;Géo-Localisation;Geo-Location;Geo-Location;Localização geográfica;Localização geográfica;Geolocalización;Geolocalización
menu.localization;Localisation;Localisation;Location;Location;Localização;Localização;Localización;Localización
menu.information;Informations;Informations;Information;Information;Informações;Informações;Información;Información
menu.user_guide;Guide de l'utilisateur;Guide de l'utilisateur;User Guide;User Guide;Guia do utilizador;Guia do utilizador;Guía del usuario;Guía del usuario
menu.dbta_website;Site de DBTA;Site de DBTA;DBTA website;DBTA website;Site do DBTA;Site do DBTA;Sitio web de DBTA;Sitio web de DBTA
menu.ifef_website;Site de l'IFEF;Site de l'IFEF;IFEF website;IFEF website;website IFEF;website IFEF;Sitio web del IFEF;Sitio web del IFEF
menu.oif_website;Site de l'OIF;Site de l'OIF;OIF website;OIF website;website OIF;website OIF;Sitio web de la OIF;Sitio web de la OIF
menu.yes;Oui;Oui;Yes;Yes;Sim;Sim;Sí;Sí
menu.no;Non;Non;No;No;Não;Não;No;No
menu.firstname;Prénom;Prénom;First name;First name;Nome próprio;Nome próprio;Nombre de pila;Nombre de pila
menu.lastname;Nom;Nom;Last Name;Last Name;Nome;Nome;Apellido;Apellido
menu.you_are;Vous êtes;Genre;You are;Gender;É o/a;Gênero;Usted es;Género
menu.date_of_birth;Date de naissance;Date de naissance;Date of birth;Date of birth;Data de nascimento;Data de nascimento;Fecha de nacimiento;Fecha de nacimiento
menu.date_of_birth_with_tag;Date%tag_br%Naissance;Date%tag_br%Naissance;Date%tag_br%Birth;Date%tag_br%Birth;Data%tag_br%Nascimento;Data%tag_br%Nascimento;Fecha%tag_br%Nacimiento;Fecha%tag_br%Nacimiento
menu.coordinates;Coordonnées;Coordonnées;Contact details;Contact details;Dados de contacto;Dados de contacto;Datos de contacto;Datos de contacto
menu.cell_phone;Portable;Portable;Mobile phone number;Mobile phone number;Telemóvel;Telemóvel;Número de teléfono móvil;Número de teléfono móvil
menu.parent_cell_phone;Portable parent;Portable parent;Parent's mobile phone number;Parent's mobile phone number;Laptop dos pais;Laptop dos pais;Número de móvil de los padres;Número de móvil de los padres
menu.field_of_activity;Domaine d'activité;Domaine d'activité;Field of activity;Field of activity;Área de actividade;Área de actividade;Campo de actividad;Campo de actividad
menu.legend;LEGENDE;LEGENDE;LEGEND;LEGEND;LEGENDA;LEGENDA;LEYENDA;LEYENDA
menu.under_study;En cours d'études;En cours d'études;attending a training programme;attending a training programme;Em curso;Em curso;asistir a un programa de formación;asistir a un programa de formación
menu.other_field;Autre domaine;Autre domaine;Other area;Other area;Outra área;Outra área;Otro ámbito;Otro ámbito
menu.type;Type;Type;Type;Type;Tipo;Tipo;Tipo;Tipo
menu.close;Fermer;Fermer;Close;Close;Fechar;Fechar;Cerrar;Cerrar
menu.gender;Genre;Genre;Gender;Gender;Género;Género;Género;Género
menu.add;Ajouter;Ajouter;Add;Add;Adicionar;Adicionar;Añadir;Añadir
menu.edit_all;Editer tout;Editer tout;Edit All;Edit All;Editar tudo;Editar tudo;Editar todo;Editar todo
menu.confirm;Confirmer;Confirmer;Confirm;Confirm;Confirmar;Confirmar;Confirmar;Confirmar
menu.password;Mot de passe;Mot de passe;Password;Password;Palavra-passe;Palavra-passe;Contraseña;Contraseña
menu.repeat_password;Répéter le mot de passe;Répéter le mot de passe;Repeat the password;Repeat the password;Repita a palavra-passe;Repita a palavra-passe;repite la contraseña;repite la contraseña
menu.print;Imprimer;Imprimer;Print;Print;Imprimir;Imprimir;Imprimir;Imprimir
menu.remember_me;Se rappeler de moi;Se rappeler de moi;Remember me;Remember me;Lembrar-se de mim;Lembrar-se de mim;Recordar mi contraseña;Recordar mi contraseña
menu.forgot_your_password;Mot de passe oublié ?;Mot de passe oublié ?;Forgot your password?;Forgot your password?;Esqueceu-se da sua palavra-passe?;Esqueceu-se da sua palavra-passe?;¿Olvidaste tu contraseña?;¿Olvidaste tu contraseña?
menu.save;Sauvegarder;Sauvegarder;Save;Save;Guardar;Guardar;Guardar;Guardar
menu.save_edit;Sauvegarder Edition;Sauvegarder Edition;Save Edit;Save Edit;Guardar Editar;Guardar Editar;Guardar Editar;Guardar Editar
menu.select_all;Selectionner tout;Selectionner tout;Select all;Select all;Seleccionar tudo;Seleccionar tudo;Seleccionar todo;Seleccionar todo
menu.save_selection;Sauvegarder Selection;Sauvegarder Selection;Save Selection;Save Selection;Guardar selecção;Guardar selecção;Guardar selección;Guardar selección
menu.select_send_email;Envoyer email selection;Envoyer email selection;Send email selection;Send email selection;Enviar a selecção de e-mail;Enviar a selecção de e-mail;Enviar selección por correo electrónico;Enviar selección por correo electrónico
menu.valid_import;Valider l'import;Valider l'import;Validate import;Validate import;Validar a importação;Validar a importação;Validar importación;Validar importación
menu.waiting_6_months;Attente 6 mois;Attente 6 mois;Wait 6 months;Wait 6 months;Aguardar 6 meses;Aguardar 6 meses;Esperar 6 meses;Esperar 6 meses
menu.1st_reminder;1er Rappel;1er Rappel;1st Reminder;1st Reminder;1º Lembrete;1º Lembrete;1er recordatorio;1er recordatorio
menu.2nd_reminder;2nd Rappel;2nd Rappel;2nd Reminder;2nd Reminder;2º Lembrete;2º Lembrete;2º recordatorio;2º recordatorio
menu.why;Pourquoi;Pourquoi;Why;Why;Porquê;Porquê;Por qué;Por qué
menu.answer_ok;Réponse OK;Réponse OK;Reply OK;Reply OK;Responder OK;Responder OK;Responder OK;Responder OK
menu.text_filter;Filtre textuel;Filtre textuel;Text filter;Text filter;Filtro de texto;Filtro de texto;Filtro de texto;Filtro de texto
menu.communication_health_safety_environment;Communication, Hygiène, Sécurité et Environnement;Communication, Hygiène, Sécurité et Environnement;Communication, Health, Safety and Environment;Communication, Health, Safety and Environment;Comunicação, Saúde, Segurança e Ambiente;Comunicação, Saúde, Segurança e Ambiente;Comunicación, Salud, Seguridad y Medio Ambiente;Comunicación, Salud, Seguridad y Medio Ambiente
menu.connection_phone_country_code_number;Tél. de connexion (Indicatif pays + N°);Tél. de connexion (Indicatif pays + N°);Tel. connection (Country code + N°);Tel. connection (Country code + N°);Ligação telefónica (código do país + n.º);Ligação telefónica (código do país + n.º);Tel. de conexión (Prefijo del país + N°);Tel. de conexión (Prefijo del país + N°)
menu.other_phone_country_code_number;Autre Tél. (Indicatif pays + N°);Autre Tél. (Indicatif pays + N°);Other Tel. (Country code + N°);Other Tel. (Country code + N°);Outro tel. (Código do país + N°);Outro tel. (Código do país + N°);Otro tel. (Prefijo del país + N°);Otro tel. (Prefijo del país + N°)
menu.phone_country_code_number;Téléphone (Indicatif pays + N°);Téléphone (Indicatif pays + N°);Phone number (Country code + N°);Phone number (Country code + N°);Telefone (código + número);Telefone (código + número);Número de teléfono (Prefijo del país + N°);Número de teléfono (Prefijo del país + N°)
menu.cell_phone_of_a_1st_parent;Tél. portable d'un 1er parent;Tél. portable d'un 1er parent;Mobile phone number of a 1st parent;Mobile phone number of a 1st parent;Tel. telemóvel de um 1.º progenitor;Tel. telemóvel de um 1.º progenitor;Número de teléfono móvil del primer progenitor;Número de teléfono móvil del primer progenitor
menu.cell_phone_of_a_2nd_parent;Tél. portable d'un 2nd parent;Tél. portable d'un 2nd parent;Mobile phone number of a 2nd parent;Mobile phone number of a 2nd parent;Tel. portátil de um 2º progenitor;Tel. portátil de um 2º progenitor;Número de teléfono móvil del 2º progenitor;Número de teléfono móvil del 2º progenitor
menu.current_work_situation;Situation professionnelle actuelle;Situation professionnelle actuelle;Current professional situation;Current professional situation;Situação profissional actual;Situação profissional actual;Situación profesional actual;Situación profesional actual
menu.current_situation_with_tag;Situation%tag_br%professionelle;Situation%tag_br%professionelle;%tag_br%professional situation;%tag_br%professional situation;%tag_br%situação profissional;%tag_br%situação profissional;%tag_br%situación profesional;%tag_br%situación profesional
menu.about;A propos;A propos;About;About;Sobre;Sobre;Sobre;Sobre
menu.reason;Raison;Raison;Reason;Reason;Motivo;Motivo;Motivo;Motivo
menu.registration;Immatriculation;Immatriculation;Registration;Registration;Registo;Registo;Registro;Registro
menu.edit_a_sector;Modification d'un secteur d'activité;Modification d'un secteur d'activité;Editing a business sector;Editing a business sector;Editar um setor de negócio;Editar um setor de negócio;Editar un sector de actividad;Editar un sector de actividad
menu.add_a_sector;Ajouter un secteur d'activité;Ajouter un secteur d'activité;Add a sector;Add a sector;Adicionar um setor;Adicionar um setor;Añadir un sector;Añadir un sector
menu.add_a_reason;Ajouter une raison;Ajouter une raison;Add a reason;Add a reason;Adicionar um motivo;Adicionar um motivo;Añadir un motivo;Añadir un motivo
menu.work_satisfactory_with_tag;Travail%tag_br%Satisfaisant;Travail%tag_br%Satisfaisant;Work%tag_br%Satisfactory;Work%tag_br%Satisfactory;Trabalho%tag_br%Satisfatório;Trabalho%tag_br%Satisfatório;Trabajo%tag_br%Satisfactorio;Trabajo%tag_br%Satisfactorio
menu.training_satisfactory_with_tag;Formation%tag_br%Satisfaisant;Formation%tag_br%Satisfaisant;Training%tag_br%Satisfactory;Training%tag_br%Satisfactory;Formação%tag_br%Satisfatória;Formação%tag_br%Satisfatória;Formación%tag_br%Satisfactorio;Formación%tag_br%Satisfactorio
menu.heading;Intitulé;Intitulé;Title;Title;Título;Título;Título;Título
menu.label;Libellé;Libellé;Caption;Caption;Legenda;Legenda;Título;Título
menu.level;Niveau;Niveau;Level;Level;Nível;Nível;Nivel;Nivel
menu.show;Afficher;Afficher;Show;Show;Mostrar;Mostrar;Mostrar;Mostrar
menu.global_view;Vue globale;Vue globale;Overview;Overview;Visão geral;Visão geral;Visión general;Visión general
menu.identity;Identité;Identité;Identity;Identity;Identidade;Identidade;Identidad;Identidad
menu.contact;Contact;Contact;Contact;Contact;Contacto;Contacto;Contacto;Contacto
menu.contact_name;Nom du Contact;Nom du Contact;Contact Name;Contact Name;Nome do contacto;Nome do contacto;Nombre del contacto;Nombre del contacto
menu.fixed_phone;Téléphone fixe;Téléphone fixe;Fixed phone;Fixed phone;Telefone fixo;Telefone fixo;Teléfono fijo;Teléfono fijo
menu.current_files;Fichier actuels;Fichier actuels;Current files;Current files;Ficheiros actuais;Ficheiros actuais;Archivos actuales;Archivos actuales
menu.attach_an_image;Joindre une image;Joindre une image;Attach an image;Attach an image;Anexar uma imagem;Anexar uma imagem;Adjuntar una imagen;Adjuntar una imagen
menu.attach_the_description_of_the_offer;Joindre la description de l'offre ;Joindre la description de l'offre ;Attach the description of the offer ;Attach the description of the offer ;Anexar a descrição da oferta ;Anexar a descrição da oferta ;Adjuntar la descripción de la oferta;Adjuntar la descripción de la oferta
menu.select_a_new_image;Selectionner une nouvelle image;Selectionner une nouvelle image;Select a new image;Select a new image;Seleccione uma nova imagem;Seleccione uma nova imagem;Seleccionar una nueva imagen;Seleccionar una nueva imagen
menu.employment_contact;Contrat de travail;Contrat de travail;Employment contract;Employment contract;Contrato de trabalho;Contrato de trabalho;Contrato de trabajo;Contrato de trabajo
menu.select_file;Selectionner le fichier;Selectionner le fichier;Select file;Select file;Seleccionar o ficheiro;Seleccionar o ficheiro;Seleccionar fichero;Seleccionar fichero
menu.change;Change;Change;Change;Change;Alterar;Alterar;Cambiar;Cambiar
menu.home;Accueil;Accueil;Home;Home;Início;Início;Inicio;Inicio
menu.name;Nom;Nom;Name;Name;Nome;Nome;Nombre;Nombre
menu.address;Adresse;Adresse;Address;Address;Endereço;Endereço;Dirección;Dirección
